rank, player_id, score, time, spm
235,mickdaniel68,155753272,6558:58:20,395.78
236,copit187,155513117,3779:10:00,685.84
237,kaiware-10,155380271,2501:41:20,1035.17
238,ALEIXANDRE8181,155379753,3373:58:20,767.54
239,aqua-savon-80,155325533,3967:26:40,652.5
240,fahadtntiraq,154923901,3443:30:00,749.84
241,pawulonfcb,154819505,3922:20:00,657.85
242,PADRINO83____COL,154615316,4187:35:00,615.37
243,ZZSWAT,154078091,2928:18:20,876.95
244,SAM-Na-shoot,153949071,2509:22:40,1022.49
245,love_my_pug,153685895,9320:40:00,275.6
246,JDfresh013,153448022,3466:08:20,737.84
247,mame_0967,153331472,6778:16:40,377.02
248,Honotasu_Style,152576184,2889:51:40,879.95
249,AlphaSierraHoteI,152462419,5807:16:40,437.56
250,R-NM0,152386297,3802:51:40,667.86
251,GI_Jelly,152102760,7628:48:20,332.3
252,junkyjays,151936240,5886:30:00,430.18
253,carlaokusanagi,151836059,4089:53:20,618.75
254,CLOF79,151484058,3928:08:20,642.73
255,SAMAN_PERSIAN,151391926,3242:20:00,778.2
256,acubaton24,151082842,2175:40:10,1157.37
257,fernandez1204,151037856,3513:40:00,716.43
258,XCVlTA,151036740,2293:27:10,1097.59
259,mtmfms,150737628,2118:51:30,1185.68
260,A-ALHARTHI07,150723677,3623:51:40,693.2
261,killjoy_75,150652801,5372:26:40,467.36
262,FDA_Zoulou,150467894,3414:43:20,734.41
263,DR-SCOTCH-xX,150366316,4263:45:00,587.77
264,Nasenpopler0702,150226228,2436:20:00,1027.68
265,MoonClown9,149990142,3090:45:00,808.81
266,w6prod,149890812,3218:20:00,776.23
267,Satomin1970,149723824,5623:15:00,443.76
268,JJ-mnk,149609090,3188:33:20,782.01
269,soto1899,149556289,2720:23:20,916.27
270,S_t_o_r_c_k_y,149396159,3779:21:40,658.82
271,OG-Harley-_-,149303772,2675:54:00,929.93
272,Blitz_RS,149100589,6959:46:40,357.05
273,Kino_716,148984063,1769:49:40,1403
274,rLx_0_0,148899387,3717:35:00,667.55
275,roachie786,148857435,3800:45:00,652.75
276,EKU_96325209,148469908,2878:51:40,859.54
277,Bandalo,148413151,6052:10:00,408.71
278,Brian_0f_War,148333728,3722:58:20,664.05
279,racoon42,147824804,3765:35:00,654.28
280,hosi_moltafet,147625453,2501:16:00,983.67
281,Kilkennyking1119,147108884,7712:30:00,317.9
282,kabixi0128,146977739,2624:26:50,933.39
283,afro-599,146877383,3868:51:40,632.73
284,scotslad07,146845804,5336:11:40,458.65
285,IR_I_D_D_I_C_K__,146755461,2972:01:40,822.98
286,cr4nk78one,146433731,4597:45:00,530.82
287,AceOscar65,146031347,8907:50:00,273.23
288,guri503,145614053,3195:30:00,759.47
289,ESTMMXIV,145416469,2173:49:00,1114.91
290,Xx_ProStriker_xX,145345214,2352:26:30,1029.75
291,regglocc81,145325116,6732:15:00,359.77
292,jasko_tabasco,145225047,2431:47:30,995.32
293,musta23k,145093423,4225:41:40,572.27
294,LS-PrePost,144831367,3656:26:40,660.16
295,KAKRUT__KSA_F15,144719155,2536:36:10,950.87
296,cervoise1,144547418,7899:38:20,304.97
297,xSilverMystx,144538341,6498:18:20,370.71
298,oruoruyo,144458417,7704:41:40,312.49
299,AiMKinG_-,144269206,4164:13:20,577.42
300,Maschinist1986,144060925,3955:43:20,606.97
301,robertrzx,143838841,5299:06:40,452.4
302,ktkou,143724760,2952:56:40,811.19
303,sack_Gam3r1962x,143718310,4065:40:00,589.15
304,mspbuilder,143044563,8615:00:00,276.74
305,BELLMARU,142857380,3585:50:00,663.99
306,iTz-M4RiO_Mx,142835746,2977:36:40,799.5
307,FUTBOL31,142826792,7552:00:00,315.21
308,nadaes_kazoo,142556618,3673:50:00,646.72
309,G3REESE,142505355,5052:01:40,470.13
310,MarlonTas,142470411,1947:53:40,1219.01
311,UnklElroy,142045002,5654:15:00,418.7
312,Bump-Love_1110_,141949938,1644:33:40,1438.58
313,eXc__Eviil,141864554,2400:27:10,984.98
314,spartark83,141638839,3728:56:40,633.06
315,xXLEGND-CODXx,141283578,3522:05:00,668.56
316,operaterfuzzi,141161627,4770:50:00,493.14
317,TERRARIA15172,141018013,3346:33:20,702.3
318,LAVALLEE_HuB,140896019,3977:43:20,590.35
319,cad96undead,140481822,2758:28:30,848.79
320,capa_audaz,140421351,2821:43:20,829.41
321,mafiaworks,140408023,2829:13:20,827.13
322,puertorican1972,140365261,3778:05:00,619.21
323,H_I_T-MAN_G7,140085581,3316:51:40,703.91
324,iTz-C4RIoS_Mx,140031011,3360:05:00,694.58
